"","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","date","hour"
"1989",1989,2011-03-28,2,0,"Mar",17,0,1,1,"Clear-Few clouds",0.34,0.303,0.23,0.2985,25,227,252,2011-03-28,17
"1990",1990,2011-03-28,2,0,"Mar",18,0,1,1,"Clear-Few clouds",0.32,0.303,0.21,0.2836,21,220,241,2011-03-28,18
"1991",1991,2011-03-28,2,0,"Mar",19,0,1,1,"Clear-Few clouds",0.3,0.303,0.22,0.1343,17,156,173,2011-03-28,19
"1992",1992,2011-03-28,2,0,"Mar",20,0,1,1,"Clear-Few clouds",0.32,0.3333,0.22,0.1045,5,107,112,2011-03-28,20
"1993",1993,2011-03-28,2,0,"Mar",21,0,1,1,"Clear-Few clouds",0.32,0.3333,0.21,0.1343,6,55,61,2011-03-28,21
"1994",1994,2011-03-28,2,0,"Mar",22,0,1,1,"Clear-Few clouds",0.3,0.2879,0.22,0.2239,0,40,40,2011-03-28,22
"1995",1995,2011-03-28,2,0,"Mar",23,0,1,1,"Clear-Few clouds",0.28,0.2576,0.24,0.2985,1,18,19,2011-03-28,23
"1996",1996,2011-03-29,2,0,"Mar",0,0,2,1,"Clear-Few clouds",0.26,0.2273,0.28,0.3284,1,15,16,2011-03-29,0
"1997",1997,2011-03-29,2,0,"Mar",1,0,2,1,"Clear-Few clouds",0.24,0.2121,0.32,0.2985,0,4,4,2011-03-29,1
"1998",1998,2011-03-29,2,0,"Mar",2,0,2,1,"Clear-Few clouds",0.24,0.2121,0.32,0.2985,0,3,3,2011-03-29,2
"1999",1999,2011-03-29,2,0,"Mar",3,0,2,1,"Clear-Few clouds",0.24,0.2121,0.32,0.2985,2,1,3,2011-03-29,3
"2000",2000,2011-03-29,2,0,"Mar",4,0,2,1,"Clear-Few clouds",0.2,0.2121,0.44,0.1642,1,1,2,2011-03-29,4
"2001",2001,2011-03-29,2,0,"Mar",5,0,2,1,"Clear-Few clouds",0.22,0.2121,0.37,0.2537,0,8,8,2011-03-29,5
"2002",2002,2011-03-29,2,0,"Mar",6,0,2,1,"Clear-Few clouds",0.22,0.2121,0.41,0.2985,4,46,50,2011-03-29,6
"2003",2003,2011-03-29,2,0,"Mar",7,0,2,1,"Clear-Few clouds",0.22,0.197,0.41,0.3582,5,128,133,2011-03-29,7
"2004",2004,2011-03-29,2,0,"Mar",8,0,2,1,"Clear-Few clouds",0.24,0.2121,0.35,0.3582,19,268,287,2011-03-29,8
"2005",2005,2011-03-29,2,0,"Mar",9,0,2,1,"Clear-Few clouds",0.28,0.2576,0.28,0.3881,16,156,172,2011-03-29,9
"2006",2006,2011-03-29,2,0,"Mar",10,0,2,1,"Clear-Few clouds",0.3,0.2727,0.24,0.2985,13,46,59,2011-03-29,10
"2007",2007,2011-03-29,2,0,"Mar",11,0,2,1,"Mist-Cloudy",0.34,0.303,0.25,0.3881,18,63,81,2011-03-29,11
"2008",2008,2011-03-29,2,0,"Mar",12,0,2,1,"Clear-Few clouds",0.34,0.3333,0.25,0.1642,29,77,106,2011-03-29,12
"2009",2009,2011-03-29,2,0,"Mar",13,0,2,1,"Clear-Few clouds",0.34,0.303,0.25,0.2985,24,80,104,2011-03-29,13
"2010",2010,2011-03-29,2,0,"Mar",14,0,2,1,"Clear-Few clouds",0.36,0.3333,0.25,0.2537,20,66,86,2011-03-29,14
"2011",2011,2011-03-29,2,0,"Mar",15,0,2,1,"Clear-Few clouds",0.38,0.3939,0.25,0.2239,22,65,87,2011-03-29,15
"2012",2012,2011-03-29,2,0,"Mar",16,0,2,1,"Clear-Few clouds",0.38,0.3939,0.22,0.1642,12,124,136,2011-03-29,16
"2013",2013,2011-03-29,2,0,"Mar",17,0,2,1,"Clear-Few clouds",0.4,0.4091,0.2,0.1343,34,265,299,2011-03-29,17
"2014",2014,2011-03-29,2,0,"Mar",18,0,2,1,"Clear-Few clouds",0.36,0.3636,0.21,0.0896,42,252,294,2011-03-29,18
"2015",2015,2011-03-29,2,0,"Mar",19,0,2,1,"Clear-Few clouds",0.34,0.3333,0.23,0.194,20,170,190,2011-03-29,19
"2016",2016,2011-03-29,2,0,"Mar",20,0,2,1,"Clear-Few clouds",0.36,0.3636,0.21,0.0896,13,119,132,2011-03-29,20
"2017",2017,2011-03-29,2,0,"Mar",21,0,2,1,"Clear-Few clouds",0.34,0.3636,0.42,0,8,75,83,2011-03-29,21
"2018",2018,2011-03-29,2,0,"Mar",22,0,2,1,"Clear-Few clouds",0.34,0.3636,0.49,0,6,49,55,2011-03-29,22
"2019",2019,2011-03-29,2,0,"Mar",23,0,2,1,"Mist-Cloudy",0.32,0.3333,0.57,0.1045,8,27,35,2011-03-29,23
"2020",2020,2011-03-30,2,0,"Mar",0,0,3,1,"Mist-Cloudy",0.32,0.3485,0.57,0,3,8,11,2011-03-30,0
"2021",2021,2011-03-30,2,0,"Mar",1,0,3,1,"Clear-Few clouds",0.32,0.3485,0.39,0,1,9,10,2011-03-30,1
"2022",2022,2011-03-30,2,0,"Mar",2,0,3,1,"Mist-Cloudy",0.32,0.3485,0.57,0,0,4,4,2011-03-30,2
"2023",2023,2011-03-30,2,0,"Mar",3,0,3,1,"Mist-Cloudy",0.32,0.3485,0.49,0,0,4,4,2011-03-30,3
"2024",2024,2011-03-30,2,0,"Mar",4,0,3,1,"Mist-Cloudy",0.32,0.3485,0.57,0,1,0,1,2011-03-30,4
"2025",2025,2011-03-30,2,0,"Mar",5,0,3,1,"Mist-Cloudy",0.3,0.2879,0.56,0.194,0,7,7,2011-03-30,5
"2026",2026,2011-03-30,2,0,"Mar",6,0,3,1,"Mist-Cloudy",0.3,0.303,0.49,0.1343,4,44,48,2011-03-30,6
"2027",2027,2011-03-30,2,0,"Mar",7,0,3,1,"Mist-Cloudy",0.32,0.3333,0.45,0.1045,8,128,136,2011-03-30,7
"2028",2028,2011-03-30,2,0,"Mar",8,0,3,1,"Mist-Cloudy",0.32,0.3182,0.49,0.1642,16,247,263,2011-03-30,8
"2029",2029,2011-03-30,2,0,"Mar",9,0,3,1,"Mist-Cloudy",0.32,0.303,0.45,0.2239,7,147,154,2011-03-30,9
"2030",2030,2011-03-30,2,0,"Mar",10,0,3,1,"Mist-Cloudy",0.34,0.3182,0.46,0.2239,13,51,64,2011-03-30,10
"2031",2031,2011-03-30,2,0,"Mar",11,0,3,1,"Mist-Cloudy",0.34,0.3182,0.46,0.2537,26,64,90,2011-03-30,11
"2032",2032,2011-03-30,2,0,"Mar",12,0,3,1,"Mist-Cloudy",0.34,0.3333,0.46,0.1642,15,65,80,2011-03-30,12
"2033",2033,2011-03-30,2,0,"Mar",13,0,3,1,"Mist-Cloudy",0.36,0.3485,0.46,0.2239,14,84,98,2011-03-30,13
"2034",2034,2011-03-30,2,0,"Mar",14,0,3,1,"Mist-Cloudy",0.36,0.3333,0.46,0.2985,16,64,80,2011-03-30,14
"2035",2035,2011-03-30,2,0,"Mar",15,0,3,1,"Light Snow-Rain",0.28,0.2576,0.81,0.2985,14,56,70,2011-03-30,15
"2036",2036,2011-03-30,2,0,"Mar",16,0,3,1,"Light Snow-Rain",0.28,0.2727,0.87,0.2537,0,36,36,2011-03-30,16
"2037",2037,2011-03-30,2,0,"Mar",17,0,3,1,"Light Snow-Rain",0.26,0.2727,0.93,0.1045,11,105,116,2011-03-30,17
"2038",2038,2011-03-30,2,0,"Mar",18,0,3,1,"Mist-Cloudy",0.26,0.2576,0.93,0.2239,6,79,85,2011-03-30,18
"2039",2039,2011-03-30,2,0,"Mar",19,0,3,1,"Mist-Cloudy",0.26,0.2576,0.93,0.2239,5,67,72,2011-03-30,19
"2040",2040,2011-03-30,2,0,"Mar",20,0,3,1,"Light Snow-Rain",0.24,0.2121,0.93,0.2985,4,40,44,2011-03-30,20
"2041",2041,2011-03-30,2,0,"Mar",21,0,3,1,"Mist-Cloudy",0.24,0.2273,0.93,0.2537,0,27,27,2011-03-30,21
"2042",2042,2011-03-30,2,0,"Mar",22,0,3,1,"Light Snow-Rain",0.24,0.2273,0.93,0.2239,3,21,24,2011-03-30,22
"2043",2043,2011-03-30,2,0,"Mar",23,0,3,1,"Light Snow-Rain",0.24,0.2121,0.93,0.2836,1,11,12,2011-03-30,23
"2044",2044,2011-03-31,2,0,"Mar",0,0,4,1,"Light Snow-Rain",0.24,0.2273,0.93,0.2239,0,3,3,2011-03-31,0
"2045",2045,2011-03-31,2,0,"Mar",1,0,4,1,"Light Snow-Rain",0.24,0.2273,0.93,0.194,1,4,5,2011-03-31,1
"2046",2046,2011-03-31,2,0,"Mar",2,0,4,1,"Light Snow-Rain",0.24,0.2273,0.93,0.194,0,5,5,2011-03-31,2
"2047",2047,2011-03-31,2,0,"Mar",3,0,4,1,"Light Snow-Rain",0.24,0.2273,0.93,0.2239,0,1,1,2011-03-31,3
"2048",2048,2011-03-31,2,0,"Mar",4,0,4,1,"Light Snow-Rain",0.24,0.2273,0.93,0.2537,0,2,2,2011-03-31,4
"2049",2049,2011-03-31,2,0,"Mar",5,0,4,1,"Light Snow-Rain",0.24,0.2273,0.93,0.2239,0,8,8,2011-03-31,5
"2050",2050,2011-03-31,2,0,"Mar",6,0,4,1,"Light Snow-Rain",0.24,0.2121,0.93,0.2985,2,34,36,2011-03-31,6
"2051",2051,2011-03-31,2,0,"Mar",7,0,4,1,"Light Snow-Rain",0.24,0.2273,0.93,0.2537,5,87,92,2011-03-31,7
"2052",2052,2011-03-31,2,0,"Mar",8,0,4,1,"Mist-Cloudy",0.24,0.2273,1,0.2537,7,185,192,2011-03-31,8
"2053",2053,2011-03-31,2,0,"Mar",9,0,4,1,"Light Snow-Rain",0.26,0.2424,0.93,0.2537,6,126,132,2011-03-31,9
"2054",2054,2011-03-31,2,0,"Mar",10,0,4,1,"Light Snow-Rain",0.26,0.2424,0.93,0.2537,15,54,69,2011-03-31,10
"2055",2055,2011-03-31,2,0,"Mar",11,0,4,1,"Light Snow-Rain",0.28,0.2727,0.93,0.194,6,52,58,2011-03-31,11
"2056",2056,2011-03-31,2,0,"Mar",12,0,4,1,"Light Snow-Rain",0.28,0.2727,0.93,0.194,17,73,90,2011-03-31,12
"2057",2057,2011-03-31,2,0,"Mar",13,0,4,1,"Light Snow-Rain",0.3,0.303,0.87,0.1343,13,55,68,2011-03-31,13
"2058",2058,2011-03-31,2,0,"Mar",14,0,4,1,"Light Snow-Rain",0.3,0.303,0.87,0.1343,27,49,76,2011-03-31,14
"2059",2059,2011-03-31,2,0,"Mar",15,0,4,1,"Light Snow-Rain",0.3,0.2727,0.87,0.2985,4,61,65,2011-03-31,15
"2060",2060,2011-03-31,2,0,"Mar",16,0,4,1,"Mist-Cloudy",0.3,0.2879,0.87,0.2537,13,72,85,2011-03-31,16
"2061",2061,2011-03-31,2,0,"Mar",17,0,4,1,"Mist-Cloudy",0.3,0.2879,0.87,0.2537,15,153,168,2011-03-31,17
"2062",2062,2011-03-31,2,0,"Mar",18,0,4,1,"Mist-Cloudy",0.3,0.303,0.87,0.1343,12,165,177,2011-03-31,18
"2063",2063,2011-03-31,2,0,"Mar",19,0,4,1,"Mist-Cloudy",0.3,0.303,0.87,0.1343,12,118,130,2011-03-31,19
"2064",2064,2011-03-31,2,0,"Mar",20,0,4,1,"Light Snow-Rain",0.28,0.2576,0.93,0.2836,6,79,85,2011-03-31,20
"2065",2065,2011-03-31,2,0,"Mar",21,0,4,1,"Mist-Cloudy",0.28,0.2727,0.93,0.1642,7,53,60,2011-03-31,21
"2066",2066,2011-03-31,2,0,"Mar",22,0,4,1,"Light Snow-Rain",0.28,0.2727,0.93,0.2537,7,44,51,2011-03-31,22
"2067",2067,2011-03-31,2,0,"Mar",23,0,4,1,"Light Snow-Rain",0.26,0.2576,1,0.1642,4,23,27,2011-03-31,23
"2068",2068,2011-04-01,2,0,"Apr",0,0,5,1,"Light Snow-Rain",0.26,0.2576,1,0.1642,0,6,6,2011-04-01,0
"2069",2069,2011-04-01,2,0,"Apr",1,0,5,1,"Light Snow-Rain",0.26,0.2576,1,0.1642,0,4,4,2011-04-01,1
"2070",2070,2011-04-01,2,0,"Apr",2,0,5,1,"Light Snow-Rain",0.26,0.2576,0.93,0.194,0,7,7,2011-04-01,2
"2071",2071,2011-04-01,2,0,"Apr",3,0,5,1,"Mist-Cloudy",0.24,0.2273,0.93,0.2537,0,4,4,2011-04-01,3
"2072",2072,2011-04-01,2,0,"Apr",4,0,5,1,"Mist-Cloudy",0.24,0.2273,0.93,0.2537,0,3,3,2011-04-01,4
"2073",2073,2011-04-01,2,0,"Apr",5,0,5,1,"Light Snow-Rain",0.24,0.2273,0.93,0.2239,1,11,12,2011-04-01,5
"2074",2074,2011-04-01,2,0,"Apr",6,0,5,1,"Light Snow-Rain",0.24,0.2273,0.93,0.2239,2,26,28,2011-04-01,6
"2075",2075,2011-04-01,2,0,"Apr",7,0,5,1,"Light Snow-Rain",0.24,0.2424,0.93,0,4,91,95,2011-04-01,7
"2076",2076,2011-04-01,2,0,"Apr",8,0,5,1,"Mist-Cloudy",0.26,0.2424,0.87,0.2537,8,198,206,2011-04-01,8
"2077",2077,2011-04-01,2,0,"Apr",9,0,5,1,"Clear-Few clouds",0.32,0.2879,0.7,0.3582,11,162,173,2011-04-01,9
"2078",2078,2011-04-01,2,0,"Apr",10,0,5,1,"Clear-Few clouds",0.32,0.303,0.66,0.2836,12,63,75,2011-04-01,10
"2079",2079,2011-04-01,2,0,"Apr",11,0,5,1,"Clear-Few clouds",0.32,0.2879,0.61,0.3582,17,72,89,2011-04-01,11
"2080",2080,2011-04-01,2,0,"Apr",12,0,5,1,"Clear-Few clouds",0.34,0.303,0.53,0.3582,15,80,95,2011-04-01,12
"2081",2081,2011-04-01,2,0,"Apr",13,0,5,1,"Clear-Few clouds",0.36,0.3333,0.5,0.3582,18,92,110,2011-04-01,13
"2082",2082,2011-04-01,2,0,"Apr",14,0,5,1,"Mist-Cloudy",0.36,0.3333,0.46,0.3582,26,61,87,2011-04-01,14
"2083",2083,2011-04-01,2,0,"Apr",15,0,5,1,"Clear-Few clouds",0.34,0.303,0.46,0.4179,30,81,111,2011-04-01,15
"2084",2084,2011-04-01,2,0,"Apr",16,0,5,1,"Clear-Few clouds",0.34,0.303,0.46,0.4179,42,125,167,2011-04-01,16
"2085",2085,2011-04-01,2,0,"Apr",17,0,5,1,"Clear-Few clouds",0.34,0.303,0.46,0.3284,36,245,281,2011-04-01,17
"2086",2086,2011-04-01,2,0,"Apr",18,0,5,1,"Clear-Few clouds",0.34,0.303,0.46,0.3284,36,205,241,2011-04-01,18
"2087",2087,2011-04-01,2,0,"Apr",19,0,5,1,"Clear-Few clouds",0.34,0.303,0.49,0.3284,16,120,136,2011-04-01,19
"2088",2088,2011-04-01,2,0,"Apr",20,0,5,1,"Clear-Few clouds",0.32,0.3182,0.53,0.194,2,75,77,2011-04-01,20
"2089",2089,2011-04-01,2,0,"Apr",21,0,5,1,"Clear-Few clouds",0.32,0.3333,0.53,0.1343,9,84,93,2011-04-01,21
"2090",2090,2011-04-01,2,0,"Apr",22,0,5,1,"Clear-Few clouds",0.3,0.303,0.56,0.1642,10,64,74,2011-04-01,22
"2091",2091,2011-04-01,2,0,"Apr",23,0,5,1,"Clear-Few clouds",0.3,0.3182,0.61,0.0896,12,41,53,2011-04-01,23
"2092",2092,2011-04-02,2,0,"Apr",0,0,6,0,"Mist-Cloudy",0.3,0.3333,0.61,0,3,29,32,2011-04-02,0
"2093",2093,2011-04-02,2,0,"Apr",1,0,6,0,"Clear-Few clouds",0.26,0.2727,0.65,0.1343,4,28,32,2011-04-02,1
"2094",2094,2011-04-02,2,0,"Apr",2,0,6,0,"Clear-Few clouds",0.24,0.2424,0.75,0.1343,1,20,21,2011-04-02,2
"2095",2095,2011-04-02,2,0,"Apr",3,0,6,0,"Clear-Few clouds",0.24,0.2424,0.7,0.1642,1,8,9,2011-04-02,3
"2096",2096,2011-04-02,2,0,"Apr",4,0,6,0,"Clear-Few clouds",0.24,0.2424,0.7,0.1642,0,5,5,2011-04-02,4
"2097",2097,2011-04-02,2,0,"Apr",5,0,6,0,"Mist-Cloudy",0.24,0.2424,0.75,0.1642,1,4,5,2011-04-02,5
"2098",2098,2011-04-02,2,0,"Apr",6,0,6,0,"Clear-Few clouds",0.26,0.2727,0.7,0.1045,5,7,12,2011-04-02,6
"2099",2099,2011-04-02,2,0,"Apr",7,0,6,0,"Mist-Cloudy",0.26,0.2727,0.7,0.1045,2,16,18,2011-04-02,7
"2100",2100,2011-04-02,2,0,"Apr",8,0,6,0,"Clear-Few clouds",0.3,0.3182,0.7,0.1045,10,45,55,2011-04-02,8
"2101",2101,2011-04-02,2,0,"Apr",9,0,6,0,"Mist-Cloudy",0.34,0.3485,0.66,0.1045,22,65,87,2011-04-02,9
"2102",2102,2011-04-02,2,0,"Apr",10,0,6,0,"Mist-Cloudy",0.36,0.3485,0.57,0.1642,41,113,154,2011-04-02,10
"2103",2103,2011-04-02,2,0,"Apr",11,0,6,0,"Mist-Cloudy",0.4,0.4091,0.47,0.1642,72,126,198,2011-04-02,11
"2104",2104,2011-04-02,2,0,"Apr",12,0,6,0,"Light Snow-Rain",0.32,0.3333,0.81,0.1343,84,100,184,2011-04-02,12
"2105",2105,2011-04-02,2,0,"Apr",13,0,6,0,"Clear-Few clouds",0.34,0.3333,0.81,0.1343,56,81,137,2011-04-02,13
"2106",2106,2011-04-02,2,0,"Apr",14,0,6,0,"Light Snow-Rain",0.32,0.303,0.76,0.3284,97,93,190,2011-04-02,14
"2107",2107,2011-04-02,2,0,"Apr",15,0,6,0,"Light Snow-Rain",0.34,0.303,0.76,0.3881,72,64,136,2011-04-02,15
"2108",2108,2011-04-02,2,0,"Apr",16,0,6,0,"Clear-Few clouds",0.38,0.3939,0.62,0.3284,111,85,196,2011-04-02,16
"2109",2109,2011-04-02,2,0,"Apr",17,0,6,0,"Clear-Few clouds",0.38,0.3939,0.54,0.3582,89,95,184,2011-04-02,17
"2110",2110,2011-04-02,2,0,"Apr",18,0,6,0,"Clear-Few clouds",0.38,0.3939,0.54,0.194,69,110,179,2011-04-02,18
"2111",2111,2011-04-02,2,0,"Apr",19,0,6,0,"Clear-Few clouds",0.36,0.3333,0.53,0.3582,71,77,148,2011-04-02,19
"2112",2112,2011-04-02,2,0,"Apr",20,0,6,0,"Clear-Few clouds",0.34,0.3182,0.53,0.2836,29,56,85,2011-04-02,20
"2113",2113,2011-04-02,2,0,"Apr",21,0,6,0,"Clear-Few clouds",0.32,0.303,0.61,0.2537,24,53,77,2011-04-02,21
"2114",2114,2011-04-02,2,0,"Apr",22,0,6,0,"Clear-Few clouds",0.32,0.303,0.61,0.2985,14,41,55,2011-04-02,22
"2115",2115,2011-04-02,2,0,"Apr",23,0,6,0,"Clear-Few clouds",0.32,0.3182,0.61,0.1642,20,33,53,2011-04-02,23
"2116",2116,2011-04-03,2,0,"Apr",0,0,0,0,"Clear-Few clouds",0.3,0.2879,0.65,0.194,8,31,39,2011-04-03,0
"2117",2117,2011-04-03,2,0,"Apr",1,0,0,0,"Clear-Few clouds",0.3,0.3182,0.61,0.1045,8,26,34,2011-04-03,1
"2118",2118,2011-04-03,2,0,"Apr",2,0,0,0,"Clear-Few clouds",0.26,0.2727,0.7,0.1343,5,19,24,2011-04-03,2
"2119",2119,2011-04-03,2,0,"Apr",3,0,0,0,"Clear-Few clouds",0.3,0.3333,0.61,0,3,8,11,2011-04-03,3
"2120",2120,2011-04-03,2,0,"Apr",4,0,0,0,"Clear-Few clouds",0.28,0.303,0.7,0.0896,3,0,3,2011-04-03,4
"2121",2121,2011-04-03,2,0,"Apr",5,0,0,0,"Clear-Few clouds",0.28,0.2727,0.65,0.2239,1,4,5,2011-04-03,5
"2122",2122,2011-04-03,2,0,"Apr",6,0,0,0,"Clear-Few clouds",0.28,0.2727,0.65,0.194,10,23,33,2011-04-03,6
"2123",2123,2011-04-03,2,0,"Apr",7,0,0,0,"Clear-Few clouds",0.32,0.303,0.57,0.2239,13,20,33,2011-04-03,7
"2124",2124,2011-04-03,2,0,"Apr",8,0,0,0,"Clear-Few clouds",0.34,0.3333,0.57,0.1642,18,44,62,2011-04-03,8
"2125",2125,2011-04-03,2,0,"Apr",9,0,0,0,"Clear-Few clouds",0.36,0.3182,0.5,0.4925,68,74,142,2011-04-03,9
"2126",2126,2011-04-03,2,0,"Apr",10,0,0,0,"Clear-Few clouds",0.4,0.4091,0.43,0.4179,111,104,215,2011-04-03,10
"2127",2127,2011-04-03,2,0,"Apr",11,0,0,0,"Clear-Few clouds",0.42,0.4242,0.41,0.2537,139,104,243,2011-04-03,11
"2128",2128,2011-04-03,2,0,"Apr",12,0,0,0,"Clear-Few clouds",0.44,0.4394,0.38,0.2836,166,147,313,2011-04-03,12
"2129",2129,2011-04-03,2,0,"Apr",13,0,0,0,"Clear-Few clouds",0.44,0.4394,0.33,0.2985,219,148,367,2011-04-03,13
"2130",2130,2011-04-03,2,0,"Apr",14,0,0,0,"Clear-Few clouds",0.46,0.4545,0.31,0.1343,240,109,349,2011-04-03,14
"2131",2131,2011-04-03,2,0,"Apr",15,0,0,0,"Mist-Cloudy",0.46,0.4545,0.33,0,174,118,292,2011-04-03,15
"2132",2132,2011-04-03,2,0,"Apr",16,0,0,0,"Mist-Cloudy",0.46,0.4545,0.31,0.194,147,156,303,2011-04-03,16
"2133",2133,2011-04-03,2,0,"Apr",17,0,0,0,"Mist-Cloudy",0.46,0.4545,0.28,0.1343,148,126,274,2011-04-03,17
"2134",2134,2011-04-03,2,0,"Apr",18,0,0,0,"Mist-Cloudy",0.46,0.4545,0.31,0,71,101,172,2011-04-03,18
"2135",2135,2011-04-03,2,0,"Apr",19,0,0,0,"Mist-Cloudy",0.42,0.4242,0.44,0.194,51,93,144,2011-04-03,19
"2136",2136,2011-04-03,2,0,"Apr",20,0,0,0,"Light Snow-Rain",0.42,0.4242,0.41,0.2239,24,55,79,2011-04-03,20
"2137",2137,2011-04-03,2,0,"Apr",21,0,0,0,"Mist-Cloudy",0.42,0.4242,0.44,0.2239,8,37,45,2011-04-03,21
"2138",2138,2011-04-03,2,0,"Apr",22,0,0,0,"Clear-Few clouds",0.4,0.4091,0.43,0.1045,7,29,36,2011-04-03,22
"2139",2139,2011-04-03,2,0,"Apr",23,0,0,0,"Clear-Few clouds",0.4,0.4091,0.5,0.0896,9,22,31,2011-04-03,23
"2140",2140,2011-04-04,2,0,"Apr",0,0,1,1,"Clear-Few clouds",0.4,0.4091,0.5,0.2239,1,5,6,2011-04-04,0
"2141",2141,2011-04-04,2,0,"Apr",1,0,1,1,"Clear-Few clouds",0.4,0.4091,0.56,0.3582,7,4,11,2011-04-04,1
"2142",2142,2011-04-04,2,0,"Apr",2,0,1,1,"Clear-Few clouds",0.38,0.3939,0.66,0.2537,1,1,2,2011-04-04,2
"2143",2143,2011-04-04,2,0,"Apr",3,0,1,1,"Clear-Few clouds",0.38,0.3939,0.66,0.2836,1,0,1,2011-04-04,3
"2144",2144,2011-04-04,2,0,"Apr",4,0,1,1,"Clear-Few clouds",0.38,0.3939,0.71,0.2985,1,1,2,2011-04-04,4
"2145",2145,2011-04-04,2,0,"Apr",5,0,1,1,"Clear-Few clouds",0.4,0.4091,0.62,0.2537,0,7,7,2011-04-04,5
"2146",2146,2011-04-04,2,0,"Apr",6,0,1,1,"Clear-Few clouds",0.42,0.4242,0.58,0.2836,3,43,46,2011-04-04,6
"2147",2147,2011-04-04,2,0,"Apr",7,0,1,1,"Mist-Cloudy",0.44,0.4394,0.54,0.2537,7,150,157,2011-04-04,7
"2148",2148,2011-04-04,2,0,"Apr",8,0,1,1,"Mist-Cloudy",0.46,0.4545,0.55,0.2985,31,308,339,2011-04-04,8
"2149",2149,2011-04-04,2,0,"Apr",9,0,1,1,"Mist-Cloudy",0.5,0.4848,0.51,0.3881,24,134,158,2011-04-04,9
"2150",2150,2011-04-04,2,0,"Apr",10,0,1,1,"Mist-Cloudy",0.54,0.5152,0.45,0.3582,35,55,90,2011-04-04,10
"2151",2151,2011-04-04,2,0,"Apr",11,0,1,1,"Clear-Few clouds",0.6,0.6212,0.4,0.3881,58,66,124,2011-04-04,11
"2152",2152,2011-04-04,2,0,"Apr",12,0,1,1,"Clear-Few clouds",0.64,0.6212,0.36,0.4627,59,98,157,2011-04-04,12
"2153",2153,2011-04-04,2,0,"Apr",13,0,1,1,"Clear-Few clouds",0.68,0.6364,0.34,0.3284,47,92,139,2011-04-04,13
"2154",2154,2011-04-04,2,0,"Apr",14,0,1,1,"Mist-Cloudy",0.74,0.6515,0.27,0.4925,47,76,123,2011-04-04,14
"2155",2155,2011-04-04,2,0,"Apr",15,0,1,1,"Clear-Few clouds",0.76,0.6667,0.23,0.5522,47,96,143,2011-04-04,15
"2156",2156,2011-04-04,2,0,"Apr",16,0,1,1,"Clear-Few clouds",0.76,0.6515,0.22,0.5224,59,130,189,2011-04-04,16
"2157",2157,2011-04-04,2,0,"Apr",17,0,1,1,"Clear-Few clouds",0.74,0.6515,0.23,0.6119,83,283,366,2011-04-04,17
"2158",2158,2011-04-04,2,0,"Apr",18,0,1,1,"Mist-Cloudy",0.72,0.6364,0.23,0.4925,78,308,386,2011-04-04,18
"2159",2159,2011-04-04,2,0,"Apr",19,0,1,1,"Clear-Few clouds",0.7,0.6364,0.24,0.4627,51,227,278,2011-04-04,19
"2160",2160,2011-04-04,2,0,"Apr",20,0,1,1,"Mist-Cloudy",0.7,0.6364,0.24,0.5522,40,133,173,2011-04-04,20
"2161",2161,2011-04-04,2,0,"Apr",21,0,1,1,"Mist-Cloudy",0.7,0.6364,0.3,0.4478,19,76,95,2011-04-04,21
"2162",2162,2011-04-04,2,0,"Apr",22,0,1,1,"Mist-Cloudy",0.68,0.6364,0.36,0.4627,17,58,75,2011-04-04,22
"2163",2163,2011-04-04,2,0,"Apr",23,0,1,1,"Mist-Cloudy",0.64,0.6212,0.47,0.2239,18,30,48,2011-04-04,23
"2164",2164,2011-04-05,2,0,"Apr",0,0,2,1,"Clear-Few clouds",0.62,0.6212,0.5,0.1045,10,12,22,2011-04-05,0
"2165",2165,2011-04-05,2,0,"Apr",1,0,2,1,"Light Snow-Rain",0.62,0.6212,0.57,0.4179,10,5,15,2011-04-05,1
"2166",2166,2011-04-05,2,0,"Apr",2,0,2,1,"Mist-Cloudy",0.54,0.5152,0.73,0.3284,0,5,5,2011-04-05,2
"2167",2167,2011-04-05,2,0,"Apr",3,0,2,1,"Mist-Cloudy",0.54,0.5152,0.73,0.3284,1,3,4,2011-04-05,3
"2168",2168,2011-04-05,2,0,"Apr",4,0,2,1,"Light Snow-Rain",0.5,0.4848,0.88,0.4925,0,2,2,2011-04-05,4
"2169",2169,2011-04-05,2,0,"Apr",5,0,2,1,"Light Snow-Rain",0.46,0.4545,0.94,0.2985,0,5,5,2011-04-05,5
"2170",2170,2011-04-05,2,0,"Apr",6,0,2,1,"Mist-Cloudy",0.48,0.4697,0.88,0.3284,2,36,38,2011-04-05,6
"2171",2171,2011-04-05,2,0,"Apr",7,0,2,1,"Mist-Cloudy",0.48,0.4697,0.88,0.3284,10,124,134,2011-04-05,7
"2172",2172,2011-04-05,2,0,"Apr",8,0,2,1,"Light Snow-Rain",0.38,0.3939,0.87,0.5821,9,148,157,2011-04-05,8
"2173",2173,2011-04-05,2,0,"Apr",9,0,2,1,"Light Snow-Rain",0.36,0.3182,0.87,0.4925,2,44,46,2011-04-05,9
"2174",2174,2011-04-05,2,0,"Apr",10,0,2,1,"Light Snow-Rain",0.34,0.303,0.81,0.3881,3,25,28,2011-04-05,10
